t_sim;S_sim;I_sim;R_sim;R0_sim
149;0.91624614533205;0.00441676327237729;0.0793370596727623;0.931015399422522
150;0.915455;0.00429986;0.080245;0.925
151;0.914761913580247;0.00415129333333333;0.0810869654320988;0.9
152;0.914119752770767;0.00401251483155931;0.0818680086140678;0.9
153;0.913496247887633;0.00387734968287062;0.0826266171952156;0.9
154;0.912872743004499;0.00374218453418194;0.0833852257763635;0.9
155;0.912249238121365;0.00360701938549325;0.0841438343575113;0.9
156;0.911640045235804;0.00347467568816169;0.0848853198267565;0.899061597690087
157;0.911108283926853;0.00335759676612127;0.0855341648700674;0.893046198267565
158;0.910576522617902;0.00324051784408085;0.0861830099133782;0.887030798845043
159;0.910044761308951;0.00312343892204042;0.0868318549566891;0.881015399422522
160;0.909513;0.00300636;0.0874807;0.875
161;0.909060913580247;0.00287346024691358;0.0880658222222222;0.85
162;0.90865037759245;0.00275230172830023;0.0885975425326457;0.85
163;0.908255118073082;0.00263546204872161;0.089109602227587;0.85
164;0.907859858553715;0.00251862236914298;0.0896216619225283;0.85
165;0.907464599034347;0.00240178268956436;0.0901337216174695;0.85
166;0.907080589027911;0.00228815368623677;0.0906313254090472;0.850938402309913
167;0.906757441770934;0.00219189526467757;0.0910507190567854;0.856953801732435
168;0.906434294513956;0.00209563684311838;0.0914701127045236;0.862969201154957
169;0.906111147256978;0.00199937842155919;0.0918895063522618;0.868984600577478
170;0.905788;0.00190312;0.0923089;0.875
171;0.905484604938272;0.00183426925925926;0.0926811888888889;0.9
172;0.905204257544168;0.00177042390540985;0.0930254013497202;0.9
173;0.904932338307912;0.00170842236914298;0.0933592979809064;0.9
174;0.904660419071656;0.00164642083287611;0.0936931946120926;0.9
175;0.9043884998354;0.00158441929660924;0.0940270912432788;0.9
176;0.904123002887392;0.00152382305101059;0.0943531813282002;0.901876804619827
177;0.903892252165544;0.00147082978825794;0.0946370359961501;0.91390760346487
178;0.903661501443696;0.00141783652550529;0.0949208906641001;0.925938402309913
179;0.903430750721848;0.00136484326275265;0.09520474533205;0.937969201154957
180;0.9032;0.00131185;0.0954886;0.95
181;0.902965296296296;0.00128670666666667;0.0957478901234568;1
182;0.902740691759026;0.00126247286842972;0.0959966620322616;1
183;0.902519908262921;0.00123857513991002;0.0962415210249095;1
184;0.902299124766817;0.00121467741139032;0.0964863800175573;1
